id,purpose,note,input_words,input_text,rephrased,fallback,duration_ms,nums_preserved,drug_check,status
11,diagnosis,fragmented multi-diagnosis,18,1. heart failure. 2. diabetes type 2. 3. kidney problem stage 3. 4. high BP. 5. thyroid underactive.,1. Heart failure. 2. Type 2 diabetes mellitus. 3. Chronic kidney disease stage 3. 4. Hypertension. 5. Hypothyroidism.,False,39745,0/0,N/A,PASS
12,diagnosis,wrong tense + passive voice errors,21,dengue fever is being diagnosed. platelet count is fallen to 42000. NS1 antigen was came positive. patient is having war,dengue fever is being diagnosed. platelet count is fallen to 42000. NS1 antigen was came positive. patient is having warning signs.,True,6663,1/1,N/A,FALLBACK
13,diagnosis,complex rare diagnosis colloquial,19,young female with butterfly rash and joint pains and hair falling and sun sensitivity. lupus we think it is.,"Young female presenting with malar rash, arthralgia, alopecia, and photosensitivity. Suspected systemic lupus erythematosus.",False,5510,0/0,N/A,PASS
14,diagnosis,numeric values + abbreviations,18,newly diagnosed DM type 2. FBS 280 mg/dl. HbA1c 11.2%. pt is obese BMI 34. no compication yet.,newly diagnosed DM type 2. FBS 280 mg/dl. HbA1c 11.2%. pt is obese BMI 34. no compication yet.,True,6087,3/3,PASS,FALLBACK
15,diagnosis,"already clinical, minimal change",14,Acute decompensated heart failure secondary to hypertensive heart disease. EF 30% on 2D echo.,Acute decompensated heart failure secondary to hypertensive cardiomyopathy. Ejection fraction 30% on 2D echocardiography.,False,1179,1/1,N/A,PASS
16,investigations,telegraphic dots + spelling,21,ECG done. ST elevaton II III aVF. trop I 4.8 high. CBC LFT RFT electrolites sent. 2D echo orderd. angio planed.,"Electrocardiogram performed. ST segment elevation noted in leads II, III, and aVF. Troponin I level 4.8, elevated. Complete blood count, liver function tests, renal function tests, and electrolyte pan",False,1700,1/1,N/A,PASS
17,investigations,grammar + informal,22,sputum for AFB was sent 3 times and all came positive. chest xray showing cavitation in upper lobe. mantoux test also do,"Sputum acid-fast bacilli (AFB) smear was performed three times, with all results positive. Chest radiography demonstrated cavitation in the upper lobe. Mantoux tuberculin skin test was also performed.",False,5842,0/0,N/A,PASS
18,investigations,numbers heavy + scattered format,21,"platelet 42000 (low), WBC 3200 (low), hematocrit 48% (raised), NS1 antigen positive, dengue IgM positive, liver enzymes ","platelet 42000 (low), WBC 3200 (low), hematocrit 48% (raised), NS1 antigen positive, dengue IgM positive, liver enzymes SGOT 88 SGPT 72.",True,6992,5/5,N/A,FALLBACK
19,investigations,abbreviation expansion needed,20,"CBC, LFT, RFT, TFT, lipid profile, HbA1c, urine RE/ME, USG abdomen and pelvis, 2D echo, ECG, CXR PA view ordered.","Complete blood count, liver function test, renal function test, thyroid function test, lipid profile, hemoglobin A1c, urine routine and microscopic examination, ultrasound of abdomen and pelvis, two-d",False,2041,0/0,N/A,PASS
20,investigations,wrong grammar in lab reporting,25,"Hb came 7.2 which is low, MCV was small at 62, serum iron was reduced, TIBC is raised, ferritin is very very low at 4.","Hemoglobin was 7.2 g/dL, which is low; mean corpuscular volume was 62 fL, indicating microcytosis; serum iron was decreased, total iron-binding capacity was elevated, and ferritin was very low at 4 ng",False,1660,2/2,N/A,PASS
21,investigations,already formal,17,"Troponin I: 8.2 ng/mL (elevated). ECG: ST elevation in V1-V4. 2D echocardiography: anterior wall hypokinesia, EF 35%.",Troponin I level: 8.2 ng/mL (elevated). Electrocardiogram demonstrated ST segment elevation in leads V1 through V4. Two-dimensional echocardiography revealed anterior wall hypokinesis with an ejection,False,42363,2/2,N/A,PASS
22,medications,wrong frequency grammar,19,"metformin 500mg two time daily, amlodipine 5mg one time morning, aspirin 75mg one time night, atorvastatin 40mg sleeping","Metformin 500 mg twice daily, amlodipine 5 mg once daily in the morning, aspirin 75 mg once daily at night, atorvastatin 40 mg at bedtime.",False,4851,3/3,PASS,PASS
23,medications,informal dosage description,20,put him on piperacillin tazobactam 4.5gm in drip every 8 hour. also azithromycin 500mg once daily tablet. oxygen also gi,Initiated piperacillin-tazobactam 4.5 g intravenous every 8 hours and azithromycin 500 mg oral once daily. Oxygen administered.,False,6338,2/2,PASS,PASS
24,medications,Hindi-English medication instructions,20,metformin 500mg subah aur raat lena hai. glipizide 5mg subah khane se pahle. insulin se abhi ke liye door rahenge.,Metformin 500 mg twice daily. Glipizide 5 mg before breakfast. Temporarily discontinuing insulin.,False,4959,1/1,PASS,PASS
25,medications,multiple drugs fragmented,15,aspirin 75mg. clopidogrel 75mg. atorvastatin 40mg. ramipril 2.5mg. bisoprolol 2.5mg. pantoprazole 40mg. all once daily.,"Aspirin 75 mg, clopidogrel 75 mg, atorvastatin 40 mg, ramipril 2.5 mg, bisoprolol 2.5 mg, pantoprazole 40 mg, all once daily.",False,45801,3/3,PASS,PASS
26,medications,grammar mistakes in complex regimen,24,glargine 22 unit is giving at night time. aspart 6 unit is giving with each meal time. patient should monitor sugar 4 ti,Insulin glargine 22 units administered nightly. Insulin aspart 6 units administered with each meal. Patient instructed to monitor blood glucose four times daily.,False,10272,1/1,PASS,PASS
27,medications,wrong unit format + spelling,18,meropenem 1 gram intravenous every 8 hourly. vancomycin 1gm IV 12 hourly with TDM. noradrenaline 0.1 mcg/kg/min drip.,Meropenem 1 g intravenous every 8 hours. Vancomycin 1 g IV every 12 hours with therapeutic drug monitoring. Noradrenaline 0.1 mcg/kg/min infusion.,False,6423,2/2,N/A,PASS
28,medications,already formal,17,"Tab. Amlodipine 5mg once daily, Tab. Telmisartan 40mg once daily, Tab. Aspirin 75mg once daily after food.","Amlodipine 5 mg once daily, Telmisartan 40 mg once daily, Aspirin 75 mg once daily with meals.",False,3615,2/2,PASS,PASS
29,procedures,informal procedure description,17,we took patient to OT and did keyhole surgery for appendix removal. everything went fine. no complication.,"Patient was taken to the operating theater and underwent laparoscopic appendectomy. The procedure was uneventful, with no complications noted.",False,1394,0/0,N/A,PASS
30,procedures,grammar + wrong construction,24,fluid was tapped from left side of chest under ultrasound guidance is done. 800ml straw colour fluid was came out and se,fluid was tapped from left side of chest under ultrasound guidance is done. 800ml straw colour fluid was came out and sent for test.,True,1480,1/1,N/A,FALLBACK
31,procedures,telegraphic,18,primary PCI done. LAD stented. TIMI 3 flow achieved. cath lab time 45 min. no complication. shifted CCU.,Primary percutaneous coronary intervention performed. Left anterior descending artery stented; TIMI 3 flow restored. Catheterization laboratory time 45 minutes. No complications encountered. Patient t,False,1810,1/1,N/A,PASS
32,procedures,Hindi-English mix,19,patient ka central line right jugular vein mein dala gaya. procedure theek se ho gayi. koi problem nahi aaya.,Central venous catheter placement via the right internal jugular vein was performed successfully without complications.,False,1087,0/0,N/A,PASS
33,procedures,already formal,15,Diagnostic upper GI endoscopy performed under conscious sedation. Findings: duodenal ulcer 1.2cm with clean base.,Diagnostic upper gastrointestinal endoscopy performed under conscious sedation. Findings: 1.2-cm duodenal ulcer with clean base.,False,1951,1/1,N/A,PASS
34,vitals,spelled out + wrong format,26,BP 160 by 100 mmhg. pulse 98 per minute and it is irregular. oxygen 93 percentage on room air. temprature 100.4 fehrenhe,"Blood pressure 160/100 mmHg, pulse 98/min and irregular, oxygen saturation 93% on room air, temperature 100.4°F, respiratory rate 22/min.",False,19098,6/6,N/A,PASS
35,vitals,mixed units + grammar,23,BP is 158/96 mmHg. heart rate 104 per min. spo2 94% on oxygen 4 litre. temp is 101 degree F. weight 87 kilogram.,BP is 158/96 mmHg. heart rate 104 per min. spo2 94% on oxygen 4 litre. temp is 101 degree F. weight 87 kilogram.,True,12741,6/6,N/A,FALLBACK
36,vitals,scattered no structure,19,random sugar 312. height 165cm. weight 87kg. BMI 32. BP 142/90. pulse 88. rr 18. temp 98.6F. spo2 99%.,Random blood glucose 312 mg/dL. Height 165 cm. Weight 87 kg. BMI 32. Blood pressure 142/90 mmHg. Pulse 88/min. Respiratory rate 18/min. Temperature 98.6°F. Oxygen saturation 99%.,False,17686,10/10,N/A,PASS
37,vitals,child vitals + informal,20,child age 5yr. weight 18kg. temp 39.9 degree celsius. heart rate 136/min. rr 42/min. spo2 87% room air. bp 90/60.,"Patient is a 5-year-old child weighing 18 kg. Temperature is 39.9°C, heart rate is 136/min, respiratory rate is 42/min, oxygen saturation is 87% on room air, and blood pressure is 90/60 mmHg.",False,2657,7/7,N/A,PASS
38,vitals,already formal,18,"BP 118/76 mmHg, HR 72/min regular, SpO2 98% on room air, Temperature 37.1°C, RR 16/min, Weight 68 kg.","Blood pressure 118/76 mmHg, heart rate 72/min regular, oxygen saturation 98% on room air, temperature 37.1°C, respiratory rate 16/min, weight 68 kg.",False,2277,7/7,N/A,PASS
39,advice_followup,Hindi-English mix,29,patient ko bola ki dawai regularly lena. BP aur sugar ghar pe check karte rehna. namak aur cheeni kam karo. roz 30 min w,Patient was advised to take medications regularly. Blood pressure and blood sugar levels should be monitored at home on a regular basis. Reduce salt and sugar intake. Engage in a 30-minute walk daily.,False,2146,1/1,N/A,PASS
40,advice_followup,grammar mistakes,28,patient should not do heavy work for 2 week. wound should kept dry. daily dressing is done. come back if fever is come o,"The patient should avoid heavy physical activity for two weeks. The surgical wound should be kept dry, and daily dressing changes are to be performed. The patient is instructed to return for follow-up",False,2020,0/0,N/A,PASS
41,advice_followup,telegraphic bullet style,22,DOTS therapy 6 months. no alcohol. regular follow up monthly. check liver function 1 month. report side effects. contact,Patient is to complete 6 months of DOTS therapy. Alcohol consumption is contraindicated. Attend monthly follow-up appointments. Liver function tests are to be performed at 1 month. Report any side eff,False,3229,0/0,N/A,PASS
42,advice_followup,informal patient education,31,drink lot of water and ORS. rest at home. do not take aspirin or brufen for fever. take paracetamol only. come to hospit,Instruct patient to maintain adequate hydration with plenty of water and oral rehydration solution. Advise strict rest at home. Advise against the use of aspirin or ibuprofen for fever; paracetamol ma,False,2519,0/0,N/A,PASS
43,advice_followup,already formal,21,"Patient advised dietary modification: low salt, low fat diet. Exercise 30 minutes daily. Follow-up in 2 weeks with BP mo","Patient was advised to adopt a low-sodium, low-fat diet and engage in 30 minutes of daily physical exercise. A follow-up appointment is scheduled in 2 weeks with submission of a blood pressure monitor",False,1931,1/1,N/A,PASS
44,doctors_notes,very informal + grammar disaster (→ 72B),76,65 yr old fat male came in with chest hurting real bad since 2 days sweating a lot feels like something heavy on chest h,"**Clinical Note**

**Chief Complaint:** Chest pain

**History of Present Illness:**
A 65-year-old male presents with severe chest pain for the past 2 days, accompanied by diaphoresis and a sensation o",False,6980,8/8,PASS,PASS
45,doctors_notes,fragmented + telegraphic (→ 72B),33,52F. HTN. DM2. came with breathlessness 2 days. pedal edema bilateral. JVP raised. basal crepts. CXR cardiomegaly. BNP 1,52F. HTN. DM2. came with breathlessness 2 days. pedal edema bilateral. JVP raised. basal crepts. CXR cardiomegaly. BNP 1240. echo EF 28%. started on furosemide 40mg IV. fluid restricted 1L/day. cardio,True,12486,4/4,PASS,FALLBACK
46,doctors_notes,wrong word order + subject errors (→ 72B),48,patient whose age 45 year male is having jaundice which is yellowish colour of eyes and skin since 1 week. dark urine is,"Patient is a 45-year-old male presenting with jaundice, characterized by scleral and cutaneous icterus, of one-week duration. Dark urine and pale stools are noted. Liver function tests reveal total bi",False,40587,2/2,N/A,PASS
47,doctors_notes,"short note — grammar only (→ 7B, under 50 words)",18,patient is stable now. pain is controlled. vitals is normal. plan is to discharge tomorrow if no complication.,Patient is currently stable. Pain is well-controlled. Vital signs are within normal limits. Discharge is planned for tomorrow in the absence of complications.,False,1559,0/0,N/A,PASS
48,doctors_notes,ICU note with numbers (→ 72B),39,"pt on ventilator day 3. PEEP 8, FiO2 50%, TV 480ml. ABG pH 7.38 pCO2 42 pO2 88. sedation fentanyl 25mcg/hr midazolam 2mg","Patient on mechanical ventilation, day 3. Settings: PEEP 8 cmH2O, FiO2 50%, tidal volume 480 mL. Arterial blood gas: pH 7.38, pCO2 42 mmHg, pO2 88 mmHg. Sedation with fentanyl 25 mcg/hr and midazolam ",False,5518,10/10,PASS,PASS
49,doctors_notes,"already well-written (→ 7B, under 50 words)",27,Patient is hemodynamically stable. Pain adequately controlled with analgesics. Wound is clean and dry. Tolerating oral f,Patient is hemodynamically stable. Pain is well-controlled with analgesics. The surgical wound is clean and dry. The patient is tolerating oral intake. Discharge is planned for tomorrow with an outpat,False,1990,0/0,N/A,PASS
50,chief_complaint,GARBAGE INPUT — should return fallback,6,asdfgh qwerty zxcvbn mnbvcd poiuyt lkjhg,Rephrased text: Unable to rephrase due to lack of clinical content in the provided text.,False,1185,0/0,N/A,PASS
